Brand_ID,Brand_Name,Industry,Company_Size,Monthly_Budget,Target_Age,Target_Gender,Preferred_Platform,Preferred_Category,Preferred_Creator_Tier,Preferred_Collab_Type,Max_CPM,Risk_Tolerance,Past_Collab_Count,Preferred_Campaign_Duration,Created_At
BR_00025,네이처게임푸드025,게임,SMB,800000,13-24,Male,Instagram,게임,메가,제품리뷰,2100.0,보통,1,6개월,2024-02-02
BR_00026,㈜패션플러스026,패션,SMB,2600000,18-34,Female,TikTok,패션,나노,OOTD협찬,5500.0,높음,1,3개월,2024-09-21
BR_00027,(주)피트니스케어027,피트니스,SMB,2700000,18-34,Mixed,Instagram,피트니스,마이크로,챌린지,8300.0,높음,7,2주,2025-12-24
BR_00028,퓨어뷰티코퍼레이션028,뷰티,SMB,3300000,18-34,Female,YouTube,뷰티,매크로,GRWM협찬,8500.0,높음,0,6개월,2024-02-12
BR_00029,㈜게임코스메틱029,게임,SMB,1100000,13-24,Male,Instagram,게임,마이크로,제품리뷰,3400.0,보통,10,3개월,2025-06-02
BR_00030,네이처여행테크030,여행,SMB,1100000,25-44,Mixed,TikTok,여행,나노,협찬리뷰,3300.0,보통,5,3개월,2024-01-07
BR_00031,코리아테크케어031,테크,SMB,3500000,25-44,Male,TikTok,테크,나노,언박싱리뷰,4800.0,보통,3,3개월,2025-01-04
BR_00032,프리미엄테크홈032,테크,SMB,1400000,25-44,Male,TikTok,테크,마이크로,언박싱리뷰,8200.0,보통,4,3개월,2025-04-14
BR_00033,(주)게임웨어033,게임,SMB,4800000,13-24,Male,TikTok,게임,나노,제품리뷰,5000.0,높음,0,2주,2024-12-12
BR_00034,글로벌피트니스홈034,피트니스,SMB,3000000,18-34,Mixed,YouTube,피트니스,마이크로,챌린지,8300.0,낮음,8,1개월,2025-08-11
BR_00035,프리미엄뷰티푸드035,뷰티,SMB,4500000,18-34,Female,Mixed,뷰티,마이크로,GRWM협찬,7800.0,높음,2,1개월,2024-12-18
BR_00036,프리미엄뷰티플러스036,뷰티,SMB,2200000,18-34,Female,TikTok,뷰티,메가,GRWM협찬,9400.0,보통,5,1개월,2025-07-11
BR_00037,퓨어헬스케어테크037,헬스케어,SMB,4400000,35-54,Mixed,Mixed,라이프스타일,마이크로,제품리뷰,7300.0,보통,0,2주,2025-07-04
BR_00038,글로벌피트니스케어038,피트니스,SMB,2900000,18-34,Mixed,Instagram,피트니스,마이크로,챌린지,7900.0,낮음,6,6개월,2024-11-15
BR_00039,글로벌게임랩039,게임,SMB,2600000,13-24,Male,YouTube,게임,매크로,제품리뷰,8200.0,높음,2,1개월,2024-11-07
BR_00040,(주)교육테크040,교육,SMB,3700000,25-44,Mixed,Instagram,교육,메가,브랜디드,2900.0,높음,3,2주,2024-02-18
BR_00041,에코패션랩041,패션,SMB,3300000,18-34,Female,Mixed,패션,마이크로,OOTD협찬,4400.0,보통,10,6개월,2025-08-02
BR_00042,네이처게임푸드042,게임,SMB,4300000,13-24,Male,Instagram,게임,메가,제품리뷰,3900.0,높음,8,1개월,2025-01-21
BR_00043,네이처게임케어043,게임,SMB,2000000,13-24,Male,TikTok,게임,마이크로,제품리뷰,2900.0,보통,0,1개월,2025-12-29
BR_00044,㈜교육랩044,교육,SMB,3100000,25-44,Mixed,Mixed,교육,마이크로,브랜디드,2700.0,보통,1,3개월,2024-03-20
BR_00045,모던피트니스플러스045,피트니스,SMB,4800000,18-34,Mixed,Mixed,피트니스,마이크로,챌린지,6300.0,높음,5,3개월,2025-03-26
BR_00046,글로벌여행트레이딩046,여행,SMB,3100000,25-44,Mixed,TikTok,여행,마이크로,협찬리뷰,8700.0,보통,1,6개월,2025-06-25
BR_00047,퓨어패션웨어047,패션,SMB,4900000,18-34,Female,YouTube,패션,메가,OOTD협찬,3700.0,보통,6,1개월,2024-05-01
BR_00048,㈜헬스케어테크048,헬스케어,SMB,3100000,35-54,Mixed,Instagram,라이프스타일,나노,제품리뷰,2900.0,높음,1,2주,2025-01-15
BR_00049,코리아생활용품웨어049,생활용품,SMB,2800000,25-44,Female,YouTube,라이프스타일,마이크로,일상PPL,4500.0,보통,7,3개월,2024-02-19
BR_00050,글로벌생활용품웨어050,생활용품,SMB,2300000,25-44,Female,YouTube,라이프스타일,나노,일상PPL,3800.0,높음,3,2주,2024-02-15
BR_00051,코리아교육플러스051,교육,SMB,3500000,25-44,Mixed,Mixed,교육,마이크로,브랜디드,6700.0,보통,5,6개월,2024-05-15
BR_00052,퓨어식품웨어052,식품,SMB,3700000,18-34,Mixed,Mixed,푸드,마이크로,레시피협찬,7200.0,보통,0,6개월,2025-11-11
BR_00053,스마트헬스케어홈053,헬스케어,SMB,3100000,35-54,Mixed,Instagram,라이프스타일,매크로,제품리뷰,5200.0,낮음,8,3개월,2024-10-11
BR_00054,(주)패션플러스054,패션,SMB,1500000,18-34,Female,Instagram,패션,매크로,OOTD협찬,7800.0,낮음,8,6개월,2024-03-28
BR_00055,에코테크랩055,테크,SMB,4400000,25-44,Male,TikTok,테크,마이크로,언박싱리뷰,6400.0,높음,0,2주,2025-11-05
BR_00056,(주)게임푸드056,게임,SMB,1600000,13-24,Male,TikTok,게임,마이크로,제품리뷰,9900.0,높음,5,2주,2025-06-30
BR_00057,에코헬스케어랩057,헬스케어,SMB,2500000,35-54,Mixed,Mixed,라이프스타일,나노,제품리뷰,5300.0,보통,4,1개월,2025-02-28
BR_00058,모던뷰티푸드058,뷰티,SMB,3800000,18-34,Female,YouTube,뷰티,나노,GRWM협찬,4600.0,낮음,6,1개월,2024-10-19
BR_00059,㈜식품트레이딩059,식품,SMB,1600000,18-34,Mixed,Instagram,푸드,마이크로,레시피협찬,4100.0,보통,0,6개월,2024-11-29
BR_00060,(주)식품푸드060,식품,SMB,600000,18-34,Mixed,Mixed,푸드,나노,레시피협찬,7800.0,보통,1,3개월,2024-11-27
BR_00061,㈜생활용품랩061,생활용품,중견,14600000,25-44,Female,TikTok,라이프스타일,마이크로,일상PPL,9700.0,높음,7,1개월,2025-05-19
BR_00062,모던게임코퍼레이션062,게임,중견,24200000,13-24,Male,Instagram,게임,나노,제품리뷰,6100.0,보통,5,6개월,2025-02-20
BR_00063,모던패션코스메틱063,패션,중견,17300000,18-34,Female,YouTube,패션,마이크로,OOTD협찬,2200.0,높음,7,2주,2024-09-09
BR_00064,글로벌게임푸드064,게임,중견,21600000,13-24,Male,Mixed,게임,마이크로,제품리뷰,8400.0,낮음,8,6개월,2024-07-27
BR_00065,글로벌식품코스메틱065,식품,중견,14500000,18-34,Mixed,Mixed,푸드,매크로,레시피협찬,6400.0,보통,0,2주,2025-04-20
BR_00066,글로벌헬스케어랩066,헬스케어,중견,12400000,35-54,Mixed,YouTube,라이프스타일,마이크로,제품리뷰,7300.0,보통,7,1개월,2025-11-27
BR_00067,스마트교육플러스067,교육,중견,13900000,25-44,Mixed,Instagram,교육,나노,브랜디드,8900.0,보통,10,6개월,2025-07-30
BR_00068,모던패션코퍼레이션068,패션,중견,12600000,18-34,Female,TikTok,패션,메가,OOTD협찬,2700.0,높음,2,3개월,2024-08-03
BR_00069,네이처헬스케어테크069,헬스케어,중견,17900000,35-54,Mixed,Instagram,라이프스타일,메가,제품리뷰,9800.0,보통,2,1개월,2025-11-09
BR_00070,퓨어피트니스플러스070,피트니스,중견,13700000,18-34,Mixed,Instagram,피트니스,나노,챌린지,3700.0,보통,8,2주,2025-09-15
BR_00071,(주)여행트레이딩071,여행,중견,5100000,25-44,Mixed,Mixed,여행,매크로,협찬리뷰,9400.0,보통,4,6개월,2024-03-24
BR_00072,퓨어패션코퍼레이션072,패션,중견,18700000,18-34,Female,Instagram,패션,마이크로,OOTD협찬,2300.0,높음,3,3개월,2024-06-30
BR_00073,네이처뷰티코스메틱073,뷰티,중견,8100000,18-34,Female,Mixed,뷰티,나노,GRWM협찬,5800.0,보통,10,2주,2024-10-14
BR_00074,에코피트니스푸드074,피트니스,중견,9900000,18-34,Mixed,TikTok,피트니스,마이크로,챌린지,2700.0,보통,3,2주,2024-10-14
BR_00075,에코여행코스메틱075,여행,중견,28100000,25-44,Mixed,YouTube,여행,마이크로,협찬리뷰,7800.0,보통,0,1개월,2025-08-05
BR_00076,프리미엄게임코스메틱076,게임,중견,17600000,13-24,Male,TikTok,게임,나노,제품리뷰,3400.0,높음,1,2주,2024-05-10
BR_00077,스마트생활용품케어077,생활용품,중견,28800000,25-44,Female,Instagram,라이프스타일,마이크로,일상PPL,6700.0,낮음,10,6개월,2025-09-21
BR_00078,퓨어생활용품랩078,생활용품,중견,22400000,25-44,Female,Mixed,라이프스타일,메가,일상PPL,6600.0,낮음,3,3개월,2025-02-20
BR_00079,프리미엄생활용품웨어079,생활용품,중견,8100000,25-44,Female,Mixed,라이프스타일,마이크로,일상PPL,7600.0,높음,0,1개월,2024-02-18
BR_00080,프리미엄생활용품웨어080,생활용품,중견,28500000,25-44,Female,Instagram,라이프스타일,나노,일상PPL,5400.0,보통,1,1개월,2024-03-24
BR_00081,스마트헬스케어홈081,헬스케어,중견,25600000,35-54,Mixed,YouTube,라이프스타일,마이크로,제품리뷰,2200.0,보통,1,1개월,2024-11-14
BR_00082,㈜패션랩082,패션,중견,21000000,18-34,Female,Mixed,패션,마이크로,OOTD협찬,7100.0,낮음,7,1개월,2024-09-13
BR_00083,스마트테크테크083,테크,중견,7700000,25-44,Male,YouTube,테크,마이크로,언박싱리뷰,5900.0,높음,1,2주,2025-09-06
BR_00084,㈜헬스케어웨어084,헬스케어,중견,16200000,35-54,Mixed,YouTube,라이프스타일,나노,제품리뷰,8300.0,낮음,0,3개월,2024-11-16
BR_00085,(주)패션웨어085,패션,중견,25000000,18-34,Female,YouTube,패션,마이크로,OOTD협찬,3000.0,높음,8,3개월,2024-03-08
BR_00086,프리미엄패션랩086,패션,중견,22300000,18-34,Female,Instagram,패션,마이크로,OOTD협찬,2500.0,보통,0,6개월,2025-02-24
BR_00087,에코테크랩087,테크,중견,27100000,25-44,Male,Mixed,테크,마이크로,언박싱리뷰,6900.0,보통,4,6개월,2025-09-26
BR_00088,(주)패션웨어088,패션,중견,13600000,18-34,Female,Instagram,패션,매크로,OOTD협찬,7300.0,보통,0,2주,2024-01-13
BR_00089,에코헬스케어코스메틱089,헬스케어,중견,23200000,35-54,Mixed,TikTok,라이프스타일,메가,제품리뷰,2600.0,높음,2,1개월,2025-03-07
BR_00090,퓨어여행트레이딩090,여행,중견,23500000,25-44,Mixed,TikTok,여행,마이크로,협찬리뷰,7100.0,낮음,0,1개월,2024-11-15
BR_00091,네이처헬스케어푸드091,헬스케어,대기업,74600000,35-54,Mixed,TikTok,라이프스타일,마이크로,제품리뷰,6200.0,보통,2,6개월,2024-12-17
BR_00092,(주)생활용품케어092,생활용품,대기업,67700000,25-44,Female,TikTok,라이프스타일,나노,일상PPL,9900.0,보통,6,6개월,2024-02-25
BR_00093,스마트교육코스메틱093,교육,대기업,65200000,25-44,Mixed,YouTube,교육,마이크로,브랜디드,3600.0,보통,8,3개월,2025-12-12
BR_00094,네이처여행플러스094,여행,대기업,91400000,25-44,Mixed,Instagram,여행,매크로,협찬리뷰,7700.0,보통,4,1개월,2024-06-15
BR_00095,(주)패션웨어095,패션,대기업,76500000,18-34,Female,TikTok,패션,나노,OOTD협찬,9200.0,보통,10,1개월,2025-04-22
BR_00096,퓨어헬스케어테크096,헬스케어,대기업,51800000,35-54,Mixed,Mixed,라이프스타일,마이크로,제품리뷰,4000.0,보통,1,2주,2025-01-06
BR_00097,(주)뷰티케어097,뷰티,대기업,37500000,18-34,Female,YouTube,뷰티,마이크로,GRWM협찬,4900.0,보통,5,1개월,2025-10-08
BR_00098,(주)헬스케어코스메틱098,헬스케어,대기업,66800000,35-54,Mixed,TikTok,라이프스타일,마이크로,제품리뷰,2400.0,보통,1,1개월,2024-06-27
BR_00099,글로벌피트니스코스메틱099,피트니스,대기업,86700000,18-34,Mixed,YouTube,피트니스,마이크로,챌린지,4000.0,보통,0,2주,2025-11-24
BR_00100,㈜식품테크100,식품,대기업,68800000,18-34,Mixed,TikTok,푸드,마이크로,레시피협찬,7400.0,보통,1,1개월,2025-01-16
